"Notes"	"Standard Residence States"	"Standard Residence States Code"	"Mother's Bridged Race/Hispanic Origin"	"Mother's Bridged Race/Hispanic Origin Code"	"Age of Mother Year"	"Age of Mother Year Code"	"Delivery Place"	"Delivery Place Code"	"Delivery Method"	"Delivery Method Code"	Fetal Deaths	Percent of Total Deaths
	"Alabama"	"01"	"Mexican"	"2148-5"	"19 years"	"19"	"In Hospital"	"1"	"Vaginal"	"1"	15	0.00
	"Alabama"	"01"	"Mexican"	"2148-5"	"21 years"	"21"	"In Hospital"	"1"	"Vaginal"	"1"	11	0.00
	"Alabama"	"01"	"Mexican"	"2148-5"	"22 years"	"22"	"In Hospital"	"1"	"Vaginal"	"1"	11	0.00
	"Alabama"	"01"	"Mexican"	"2148-5"	"23 years"	"23"	"In Hospital"	"1"	"Vaginal"	"1"	11	0.00
	"Alabama"	"01"	"Mexican"	"2148-5"	"24 years"	"24"	"In Hospital"	"1"	"Vaginal"	"1"	10	0.00
	"Alabama"	"01"	"Mexican"	"2148-5"	"25 years"	"25"	"In Hospital"	"1"	"Vaginal"	"1"	16	0.00
	"Alabama"	"01"	"Mexican"	"2148-5"	"27 years"	"27"	"In Hospital"	"1"	"Vaginal"	"1"	15	0.00
	"Alabama"	"01"	"Mexican"	"2148-5"	"28 years"	"28"	"In Hospital"	"1"	"Vaginal"	"1"	14	0.00
	"Alabama"	"01"	"Mexican"	"2148-5"	"29 years"	"29"	"In Hospital"	"1"	"Vaginal"	"1"	10	0.00
	"Alabama"	"01"	"Mexican"	"2148-5"	"32 years"	"32"	"In Hospital"	"1"	"Vaginal"	"1"	11	0.00
	"Alabama"	"01"	"Mexican"	"2148-5"	"36 years"	"36"	"In Hospital"	"1"	"Vaginal"	"1"	12	0.00
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"15 years"	"15"	"In Hospital"	"1"	"Vaginal"	"1"	12	0.00
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"16 years"	"16"	"In Hospital"	"1"	"Vaginal"	"1"	21	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"17 years"	"17"	"In Hospital"	"1"	"Vaginal"	"1"	61	0.02
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"18 years"	"18"	"In Hospital"	"1"	"Vaginal"	"1"	105	0.03
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"18 years"	"18"	"In Hospital"	"1"	"Cesarean"	"2"	13	0.00
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"19 years"	"19"	"In Hospital"	"1"	"Vaginal"	"1"	110	0.03
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"19 years"	"19"	"In Hospital"	"1"	"Cesarean"	"2"	23	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"20 years"	"20"	"In Hospital"	"1"	"Vaginal"	"1"	112	0.03
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"20 years"	"20"	"In Hospital"	"1"	"Cesarean"	"2"	33	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"21 years"	"21"	"In Hospital"	"1"	"Vaginal"	"1"	142	0.04
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"21 years"	"21"	"In Hospital"	"1"	"Cesarean"	"2"	25	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"22 years"	"22"	"In Hospital"	"1"	"Vaginal"	"1"	125	0.03
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"22 years"	"22"	"In Hospital"	"1"	"Cesarean"	"2"	27	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"23 years"	"23"	"In Hospital"	"1"	"Vaginal"	"1"	144	0.04
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"23 years"	"23"	"In Hospital"	"1"	"Cesarean"	"2"	24	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"24 years"	"24"	"In Hospital"	"1"	"Vaginal"	"1"	135	0.04
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"24 years"	"24"	"In Hospital"	"1"	"Cesarean"	"2"	32	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"25 years"	"25"	"In Hospital"	"1"	"Vaginal"	"1"	137	0.04
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"25 years"	"25"	"In Hospital"	"1"	"Cesarean"	"2"	36	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"26 years"	"26"	"In Hospital"	"1"	"Vaginal"	"1"	146	0.04
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"26 years"	"26"	"In Hospital"	"1"	"Cesarean"	"2"	40	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"27 years"	"27"	"In Hospital"	"1"	"Vaginal"	"1"	144	0.04
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"27 years"	"27"	"In Hospital"	"1"	"Cesarean"	"2"	22	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"28 years"	"28"	"In Hospital"	"1"	"Vaginal"	"1"	157	0.04
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"28 years"	"28"	"In Hospital"	"1"	"Cesarean"	"2"	45	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"29 years"	"29"	"In Hospital"	"1"	"Vaginal"	"1"	131	0.04
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"29 years"	"29"	"In Hospital"	"1"	"Cesarean"	"2"	30	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"30 years"	"30"	"In Hospital"	"1"	"Vaginal"	"1"	146	0.04
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"30 years"	"30"	"In Hospital"	"1"	"Cesarean"	"2"	34	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"31 years"	"31"	"In Hospital"	"1"	"Vaginal"	"1"	101	0.03
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"31 years"	"31"	"In Hospital"	"1"	"Cesarean"	"2"	27	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"32 years"	"32"	"In Hospital"	"1"	"Vaginal"	"1"	120	0.03
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"32 years"	"32"	"In Hospital"	"1"	"Cesarean"	"2"	32	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"33 years"	"33"	"In Hospital"	"1"	"Vaginal"	"1"	104	0.03
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"33 years"	"33"	"In Hospital"	"1"	"Cesarean"	"2"	28	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"34 years"	"34"	"In Hospital"	"1"	"Vaginal"	"1"	94	0.03
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"34 years"	"34"	"In Hospital"	"1"	"Cesarean"	"2"	22	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"35 years"	"35"	"In Hospital"	"1"	"Vaginal"	"1"	78	0.02
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"35 years"	"35"	"In Hospital"	"1"	"Cesarean"	"2"	26	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"36 years"	"36"	"In Hospital"	"1"	"Vaginal"	"1"	68	0.02
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"36 years"	"36"	"In Hospital"	"1"	"Cesarean"	"2"	20	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"37 years"	"37"	"In Hospital"	"1"	"Vaginal"	"1"	59	0.02
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"37 years"	"37"	"In Hospital"	"1"	"Cesarean"	"2"	18	0.00
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"38 years"	"38"	"In Hospital"	"1"	"Vaginal"	"1"	35	0.01
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"38 years"	"38"	"In Hospital"	"1"	"Cesarean"	"2"	10	0.00
	"Alabama"	"01"	"Non-Hispanic White"	"6"	"39 years"	"39"	"In Hospital"	"1"	"Vaginal"	"1"	34	0.01
